[2018-02-06 22:01:20] Files.DEBUG:  58; Registro Insertado; pgsID:19617; Uid: 928645   
[2018-02-06 22:01:20] Files.DEBUG:  59; Registro Insertado; pgsID:19618; Uid: 928641   
[2018-02-06 22:01:20] Files.DEBUG:  60; Registro Insertado; pgsID:19619; Uid: 928640   
[2018-02-06 22:01:20] Files.DEBUG:  61; Registro Insertado; pgsID:19620; Uid: 928639   
[2018-02-06 22:01:20] Files.ERROR:  5; No se pudo insertar el registro; No existe el nombre del asunto en la BD; UID: 928638   
[2018-02-06 22:01:20] Files.DEBUG:  62; Registro Insertado; pgsID:19621; Uid: 928637   
[2018-02-06 22:01:20] Files.DEBUG:  63; Registro Insertado; pgsID:19622; Uid: 928636   
[2018-02-06 22:01:20] Files.DEBUG:  64; Registro Insertado; pgsID:19623; Uid: 928635   
[2018-02-06 22:01:21] Files.DEBUG:  65; Registro Insertado; pgsID:19624; Uid: 928634   
[2018-02-06 22:01:21] Files.DEBUG:  66; Registro Insertado; pgsID:19625; Uid: 928633   
[2018-02-06 22:01:21] Files.DEBUG:  67; Registro Insertado; pgsID:19626; Uid: 928630   
[2018-02-06 22:01:21] Files.ERROR:  6; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928622   
[2018-02-06 22:01:22] Files.DEBUG:  68; Registro Insertado; pgsID:19627; Uid: 928611   
[2018-02-06 22:01:26] Files.DEBUG:  69; Registro Insertado; pgsID:19628; Uid: 928565   
[2018-02-06 22:01:26] Files.DEBUG:  70; Registro Insertado; pgsID:19629; Uid: 928564   
[2018-02-06 22:01:26] Files.DEBUG:  71; Registro Insertado; pgsID:19630; Uid: 928563   
[2018-02-06 22:01:26] Files.DEBUG:  72; Registro Insertado; pgsID:19631; Uid: 928562   
[2018-02-06 22:01:26] Files.DEBUG:  73; Registro Insertado; pgsID:19632; Uid: 928561   
[2018-02-06 22:01:26] Files.DEBUG:  74; Registro Insertado; pgsID:19633; Uid: 928560   
[2018-02-06 22:01:26] Files.DEBUG:  75; Registro Insertado; pgsID:19634; Uid: 928559   
[2018-02-06 22:01:26] Files.DEBUG:  76; Registro Insertado; pgsID:19635; Uid: 928558   
[2018-02-06 22:01:26] Files.DEBUG:  77; Registro Insertado; pgsID:19636; Uid: 928557   
[2018-02-06 22:01:27] Files.DEBUG:  78; Registro Insertado; pgsID:19637; Uid: 928551   
[2018-02-06 22:01:27] Files.DEBUG:  79; Registro Insertado; pgsID:19638; Uid: 928550   
[2018-02-06 22:01:27] Files.DEBUG:  80; Registro Insertado; pgsID:19639; Uid: 928549   
[2018-02-06 22:01:27] Files.DEBUG:  81; Registro Insertado; pgsID:19640; Uid: 928547   
[2018-02-06 22:01:27] Files.DEBUG:  82; Registro Insertado; pgsID:19641; Uid: 928546   
[2018-02-06 22:01:27] Files.DEBUG:  83; Registro Insertado; pgsID:19642; Uid: 928543   
[2018-02-06 22:01:27] Files.DEBUG:  84; Registro Insertado; pgsID:19643; Uid: 928540   
[2018-02-06 22:01:27] Files.DEBUG:  85; Registro Insertado; pgsID:19644; Uid: 928539   
[2018-02-06 22:01:27] Files.DEBUG:  86; Registro Insertado; pgsID:19645; Uid: 928538   
[2018-02-06 22:01:28] Files.DEBUG:  87; Registro Insertado; pgsID:19646; Uid: 928535   
[2018-02-06 22:01:28] Files.DEBUG:  88; Registro Insertado; pgsID:19647; Uid: 928532   
[2018-02-06 22:01:28] Files.ERROR:  7; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928531   
[2018-02-06 22:01:28] Files.ERROR:  8; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928528   
[2018-02-06 22:01:28] Files.ERROR:  9; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928527   
[2018-02-06 22:01:28] Files.ERROR:  10; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928526   
[2018-02-06 22:01:29] Files.ERROR:  11; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928522   
[2018-02-06 22:01:29] Files.ERROR:  12; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928519   
[2018-02-06 22:01:29] Files.DEBUG:  89; Registro Insertado; pgsID:19648; Uid: 928518   
[2018-02-06 22:01:29] Files.DEBUG:  90; Registro Insertado; pgsID:19649; Uid: 928515   
[2018-02-06 22:01:29] Files.DEBUG:  91; Registro Insertado; pgsID:19650; Uid: 928514   
[2018-02-06 22:01:29] Files.DEBUG:  92; Registro Insertado; pgsID:19651; Uid: 928513   
[2018-02-06 22:01:29] Files.DEBUG:  93; Registro Insertado; pgsID:19652; Uid: 928512   
[2018-02-06 22:01:30] Files.DEBUG:  94; Registro Insertado; pgsID:19653; Uid: 928511   
[2018-02-06 22:01:30] Files.DEBUG:  95; Registro Insertado; pgsID:19654; Uid: 928510   
[2018-02-06 22:01:30] Files.DEBUG:  96; Registro Insertado; pgsID:19655; Uid: 928509   
[2018-02-06 22:01:30] Files.DEBUG:  97; Registro Insertado; pgsID:19656; Uid: 928508   
[2018-02-06 22:01:30] Files.DEBUG:  98; Registro Insertado; pgsID:19657; Uid: 928507   
[2018-02-06 22:01:30] Files.DEBUG:  99; Registro Insertado; pgsID:19658; Uid: 928506   
[2018-02-06 22:01:30] Files.DEBUG:  100; Registro Insertado; pgsID:19659; Uid: 928505   
[2018-02-06 22:01:30] Files.DEBUG:  101; Registro Insertado; pgsID:19660; Uid: 928504   
[2018-02-06 22:01:30] Files.DEBUG:  102; Registro Insertado; pgsID:19661; Uid: 928503   
[2018-02-06 22:01:31] Files.DEBUG:  103; Registro Insertado; pgsID:19662; Uid: 928499   
[2018-02-06 22:01:31] Files.ERROR:  13; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928498   
[2018-02-06 22:01:31] Files.ERROR:  14; No se pudo insertar el registro; No existe el cliente en la BD; UID: 928491   
[2018-02-06 22:01:32] Files.DEBUG:  104; Registro Insertado; pgsID:19663; Uid: 928478   
[2018-02-06 22:01:32] Files.DEBUG:  105; Registro Insertado; pgsID:19664; Uid: 928477   
[2018-02-06 22:01:33] Files.DEBUG:  106; Registro Insertado; pgsID:19665; Uid: 928475   
[2018-02-06 22:01:33] Files.DEBUG:  107; Registro Insertado; pgsID:19666; Uid: 928474   
[2018-02-06 22:01:33] Files.DEBUG:  108; Registro Insertado; pgsID:19667; Uid: 928473   
[2018-02-06 22:01:33] Files.DEBUG:  109; Registro Insertado; pgsID:19668; Uid: 928472   
[2018-02-06 22:01:33] Files.DEBUG:  110; Registro Insertado; pgsID:19669; Uid: 928470   
[2018-02-06 22:01:33] Files.DEBUG:  111; Registro Insertado; pgsID:19670; Uid: 928469   
[2018-02-06 22:01:33] Files.DEBUG:  112; Registro Insertado; pgsID:19671; Uid: 928468   
[2018-02-06 22:01:33] Files.DEBUG:  113; Registro Insertado; pgsID:19672; Uid: 928467   
[2018-02-06 22:01:33] Files.DEBUG:  114; Registro Insertado; pgsID:19673; Uid: 928466   
[2018-02-06 22:01:33] Files.DEBUG:  115; Registro Insertado; pgsID:19674; Uid: 928464   
[2018-02-06 22:01:34] Files.DEBUG:  116; Registro Insertado; pgsID:19675; Uid: 928462   
[2018-02-06 22:01:34] Files.DEBUG:  117; Registro Insertado; pgsID:19676; Uid: 928461   
[2018-02-06 22:01:34] Files.DEBUG:  118; Registro Insertado; pgsID:19677; Uid: 928460   
[2018-02-06 22:01:34] Files.DEBUG:  119; Registro Insertado; pgsID:19678; Uid: 928458   
[2018-02-06 22:01:34] Files.DEBUG:  120; Registro Insertado; pgsID:19679; Uid: 928457   
[2018-02-06 22:01:34] Files.DEBUG:  121; Registro Insertado; pgsID:19680; Uid: 928456   
[2018-02-06 22:01:35] Files.DEBUG:  122; Registro Insertado; pgsID:19681; Uid: 928450   
[2018-02-06 22:01:35] Files.DEBUG:  123; Registro Insertado; pgsID:19682; Uid: 928449   
[2018-02-06 22:01:35] Files.DEBUG:  124; Registro Insertado; pgsID:19683; Uid: 928448   
[2018-02-06 22:01:35] Files.DEBUG:  125; Registro Insertado; pgsID:19684; Uid: 928447   
[2018-02-06 22:01:35] Files.DEBUG:  126; Registro Insertado; pgsID:19685; Uid: 928446   
